# l[4]( l_4(t) ) connection: point2-point5
n t l_4(t)
912 2.280000 1.000007316836
913 2.282500 1.000006810391
914 2.285000 1.000006246270
915 2.287500 1.000005628986
916 2.290000 1.000004963589
917 2.292500 1.000004255614
918 2.295000 1.000003511029
919 2.297500 1.000002736144
920 2.300000 1.000001937580
921 2.302500 1.000001122198
922 2.305000 1.000000297011
923 2.307500 0.999999469095
924 2.310000 0.999998645502
925 2.312500 0.999997833208
926 2.315000 0.999997039028
927 2.317500 0.999996269522
928 2.320000 0.999995530911
929 2.322500 0.999994828997
930 2.325000 0.999994169111
931 2.327500 0.999993556069
932 2.330000 0.999992994124
933 2.332500 0.999992486952
934 2.335000 0.999992037631
935 2.337500 0.999991648596
936 2.340000 0.999991321640
937 2.342500 0.999991057895
938 2.345000 0.999990857828
939 2.347500 0.999990721256
940 2.350000 0.999990647368
941 2.352500 0.999990634762
942 2.355000 0.999990681487
943 2.357500 0.999990785116
944 2.360000 0.999990942750
945 2.362500 0.999991151051
946 2.365000 0.999991406322
947 2.367500 0.999991704590
948 2.370000 0.999992041667
949 2.372500 0.999992413194
950 2.375000 0.999992814689
951 2.377500 0.999993241621
952 2.380000 0.999993689510
953 2.382500 0.999994153973
954 2.385000 0.999994630773
955 2.387500 0.999995115907
956 2.390000 0.999995605669
957 2.392500 0.999996096663
958 2.395000 0.999996585836
959 2.397500 0.999997070539
960 2.400000 0.999997548515
961 2.402500 0.999998017894
962 2.405000 0.999998477206
963 2.407500 0.999998925364
964 2.410000 0.999999361660
965 2.412500 0.999999785763
966 2.415000 1.000000197693
967 2.417500 1.000000597781
968 2.420000 1.000000986669
969 2.422500 1.000001365307
970 2.425000 1.000001734876
971 2.427500 1.000002096717
972 2.430000 1.000002452279
973 2.432500 1.000002803072
974 2.435000 1.000003150634
975 2.437500 1.000003496482
976 2.440000 1.000003842019
977 2.442500 1.000004188467
